state,x,y
alabama,139,-77
alaska,-204,-170
arizona,-203,-40
arkansas,57,-53
california,-297,13
colorado,-112,20
connecticut,297,96
delaware,275,42
florida,220,-145
georgia,182,-75
hawaii,-317,-143
idaho,-216,122
illinois,95,37
indiana,133,39
iowa,38,65
kansas,-17,5
kentucky,149,1
louisiana,59,-114
maine,319,164
maryland,288,27
massachusetts,312,112
michigan,148,101
minnesota,23,135
mississippi,94,-78
missouri,49,6
montana,-141,150
nebraska,-61,66
nevada,-257,56
new hampshire,302,127
new jersey,282,65
new mexico,-128,-43
new york,236,104
north carolina,239,-22
north dakota,-44,158
ohio,176,52
oklahoma,-8,-41
oregon,-278,138
pennsylvania,238,72
rhode island,318,94
south carolina,218,-51
south dakota,-44,109
tennessee,131,-34
texas,-38,-106
utah,-189,34
vermont,282,154
virginia,234,12
washington,-257,193
west virginia,200,20
wisconsin,83,113
wyoming,-134,90